ID,Galaxy,[Fe/H],e_[Fe/H],logeps(Mg),e_tot(Mg),sigma_Mg,[Mg/H],[Mg/Fe],logeps(Sc),e_tot(Sc),sigma_Sc,[Sc/H],[Sc/Fe],logeps(Ti),e_tot(Ti),sigma_Ti,[Ti/H],[Ti/Fe],logeps(Cr),e_tot(Cr),sigma_Cr,[Cr/H],[Cr/Fe],logeps(Mn),e_tot(Mn),sigma_Mn,[Mn/H],[Mn/Fe],logeps(Ni),e_tot(Ni),sigma_Ni,[Ni/H],[Ni/Fe],logeps(Zn),e_tot(Zn),sigma_Zn,[Zn/H],[Zn/Fe],logeps(Sr),e_tot(Sr),sigma_Sr,[Sr/H],[Sr/Fe],logeps(Y),e_tot(Y),sigma_Y,[Y/H],[Y/Fe],logeps(Ba),e_tot(Ba),sigma_Ba,[Ba/H],[Ba/Fe],logeps(Eu),e_tot(Eu),e_temp(Eu),e_logg(Eu),e_[Fe/H](Eu),e_v(Eu),e_stat(Eu),e_noise(Eu),sigma_Eu,[Eu/H],[Eu/Fe],sigma_Fe
[LDH2014] Fnx-mem0543,For,-0.75,0.1,6.47,0.07,0.07,-1.13,-0.3799999999999999,1.78,0.22,0.22,-1.3699999999999999,-0.6199999999999999,4.38,0.12,0.12,-0.5700000000000003,0.17999999999999972,4.86,0.2,0.2,-0.7799999999999994,-0.02999999999999936,4.46,0.51,0.51,-0.9699999999999998,-0.21999999999999975,5.11,0.21,0.21,-1.1099999999999994,-0.35999999999999943,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.23,0.29,0.29,-0.98,-0.22999999999999998,1.49,0.13,0.13,-0.6900000000000002,0.05999999999999983,0.03,0.11,0.02,0.1,0.03,0.0,0.0,0.01,0.11,-0.49,0.26,0.1
[LHT2010] BL311,For,-0.75,0.04,6.74,0.08,0.08,-0.8599999999999994,-0.10999999999999943,1.77,0.19,0.19,-1.38,-0.6299999999999999,4.15,0.17,0.17,-0.7999999999999998,-0.04999999999999982,nan,nan,nan,nan,nan,4.21,0.24,0.24,-1.2199999999999998,-0.46999999999999975,5.06,0.5,0.5,-1.1600000000000001,-0.41000000000000014,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.43,0.29,0.29,-0.78,-0.030000000000000027,1.42,0.23,0.23,-0.7600000000000002,-0.010000000000000231,0.12,0.14,0.01,0.14,0.01,0.0,0.0,0.01,0.14,-0.4,0.35,0.04
FBW J024006.1-342852,For,-0.74,0.09,6.45,0.14,0.14,-1.1499999999999995,-0.4099999999999995,1.57,0.37,0.37,-1.5799999999999998,-0.8399999999999999,3.52,0.2,0.2,-1.4300000000000002,-0.6900000000000002,4.85,0.14,0.14,-0.79,-0.050000000000000044,4.25,0.1,0.1,-1.1799999999999997,-0.4399999999999997,5.17,0.16,0.16,-1.0499999999999998,-0.30999999999999983,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.88,0.29,0.29,-1.33,-0.5900000000000001,1.1,0.19,0.19,-1.08,-0.3400000000000001,-0.15,0.13,0.0,0.12,0.04,0.01,0.0,0.01,0.13,-0.67,0.06999999999999995,0.09
[LDH2014] Fnx-mem0539,For,-0.74,0.16,6.93,0.22,0.22,-0.6699999999999999,0.07000000000000006,2.04,0.13,0.13,-1.1099999999999999,-0.3699999999999999,3.9,0.24,0.24,-1.0500000000000003,-0.3100000000000003,4.77,0.55,0.55,-0.8700000000000001,-0.13000000000000012,4.17,0.2,0.2,-1.2599999999999998,-0.5199999999999998,5.2,0.47,0.47,-1.0199999999999996,-0.2799999999999996,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.4,0.26,0.26,-0.81,-0.07000000000000006,1.54,0.13,0.13,-0.6400000000000001,0.09999999999999987,-0.23,0.15,0.03,0.08,0.04,0.01,0.0,0.11,0.15,-0.75,-0.010000000000000009,0.16
[LHT2010] BL138,For,-0.74,0.03,6.62,0.14,0.14,-0.9799999999999995,-0.23999999999999955,1.98,0.2,0.2,-1.17,-0.42999999999999994,4.09,0.27,0.27,-0.8600000000000003,-0.12000000000000033,nan,nan,nan,nan,nan,4.32,0.33,0.33,-1.1099999999999994,-0.36999999999999944,5.37,0.41,0.41,-0.8499999999999996,-0.10999999999999965,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.25,0.31,0.31,-0.96,-0.21999999999999997,1.41,0.27,0.27,-0.7700000000000002,-0.03000000000000025,-0.02,0.18,0.07,0.12,0.11,0.02,0.0,0.01,0.18,-0.54,0.19999999999999996,0.03
2MASS J02382132-3436180,For,-0.73,0.12,6.68,0.1,0.1,-0.9199999999999999,-0.18999999999999995,1.72,0.22,0.22,-1.43,-0.7,3.89,0.29,0.29,-1.06,-0.33000000000000007,5.12,0.3,0.3,-0.5199999999999996,0.2100000000000004,4.08,0.14,0.14,-1.3499999999999996,-0.6199999999999997,5.74,0.4,0.4,-0.47999999999999954,0.25000000000000044,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.98,0.34,0.34,-0.20000000000000018,0.5299999999999998,0.21,0.32,0.08,0.21,0.15,0.11,0.0,0.14,0.32,-0.31000000000000005,0.41999999999999993,0.12
[LHT2010] BL104,For,-0.73,0.09,6.74,0.07,0.07,-0.8599999999999994,-0.12999999999999945,1.95,0.18,0.18,-1.2,-0.47,3.96,0.21,0.21,-0.9900000000000002,-0.26000000000000023,nan,nan,nan,nan,nan,4.28,0.07,0.07,-1.1499999999999995,-0.4199999999999995,5.44,0.17,0.17,-0.7799999999999994,-0.04999999999999938,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.73,0.27,0.27,-1.48,-0.75,1.52,0.18,0.18,-0.6600000000000001,0.06999999999999984,0.2,0.34,0.12,0.26,0.15,0.12,0.0,0.01,0.34,-0.32,0.41,0.09
[LHT2010] BL146,For,-0.73,0.08,6.71,0.11,0.11,-0.8899999999999997,-0.1599999999999997,1.97,0.21,0.21,-1.18,-0.44999999999999996,4.14,0.14,0.14,-0.8100000000000005,-0.08000000000000052,nan,nan,nan,nan,nan,4.31,0.15,0.15,-1.12,-0.3900000000000001,5.25,0.17,0.17,-0.9699999999999998,-0.23999999999999977,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.41,0.19,0.19,-0.7700000000000002,-0.04000000000000026,0.1,0.13,0.01,0.13,0.03,0.0,0.0,0.01,0.13,-0.42000000000000004,0.30999999999999994,0.08
[WMO2006] F01-6,For,-0.73,0.07,6.53,0.06,0.06,-1.0699999999999994,-0.3399999999999994,2.0,0.12,0.12,-1.15,-0.41999999999999993,3.79,0.25,0.25,-1.1600000000000001,-0.43000000000000016,5.18,0.14,0.14,-0.45999999999999996,0.27,4.48,0.27,0.27,-0.9499999999999993,-0.2199999999999993,5.14,0.19,0.19,-1.08,-0.3500000000000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.19,0.3,0.3,-1.02,-0.29000000000000004,1.07,0.41,0.41,-1.11,-0.3800000000000001,-0.04,0.13,0.0,0.12,0.04,0.01,0.0,0.01,0.13,-0.56,0.16999999999999993,0.07
[WMO2009] For-0952,For,-0.73,0.04,6.82,0.1,0.1,-0.7799999999999994,-0.04999999999999938,2.02,0.15,0.15,-1.13,-0.3999999999999999,4.05,0.22,0.22,-0.9000000000000004,-0.17000000000000037,5.03,0.23,0.23,-0.6099999999999994,0.12000000000000055,4.27,0.13,0.13,-1.1600000000000001,-0.43000000000000016,5.21,0.23,0.23,-1.0099999999999998,-0.2799999999999998,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.38,0.25,0.25,-0.8300000000000001,-0.10000000000000009,0.99,0.38,0.38,-1.1900000000000002,-0.4600000000000002,0.02,0.11,0.0,0.11,0.02,0.01,0.0,0.01,0.11,-0.5,0.22999999999999998,0.04
GB07 Fnx24,For,-0.72,0.08,6.78,0.17,0.17,-0.8199999999999994,-0.09999999999999942,2.04,0.13,0.13,-1.1099999999999999,-0.3899999999999999,3.83,0.19,0.19,-1.12,-0.40000000000000013,4.83,0.22,0.22,-0.8099999999999996,-0.08999999999999964,4.89,0.15,0.15,-0.54,0.17999999999999994,5.16,0.32,0.32,-1.0599999999999996,-0.33999999999999964,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.84,0.27,0.27,-1.37,-0.6500000000000001,0.82,0.33,0.33,-1.3600000000000003,-0.6400000000000003,0.13,0.09,0.02,0.09,0.02,0.0,0.0,0.01,0.09,-0.39,0.32999999999999996,0.08
[LDH2014] Fnx-mem0754,For,-0.72,0.05,6.71,0.18,0.18,-0.8899999999999997,-0.1699999999999997,1.96,0.14,0.14,-1.19,-0.47,4.18,0.12,0.12,-0.7700000000000005,-0.05000000000000049,5.0,0.26,0.26,-0.6399999999999997,0.0800000000000003,4.62,0.07,0.07,-0.8099999999999996,-0.08999999999999964,5.35,0.12,0.12,-0.8700000000000001,-0.15000000000000013,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.4,0.22,0.22,-0.7800000000000002,-0.060000000000000275,0.16,0.36,0.14,0.25,0.16,0.15,0.0,0.01,0.36,-0.36,0.36,0.05
[WMO2009] For-0956,For,-0.72,0.08,6.7,0.07,0.07,-0.8999999999999995,-0.1799999999999995,1.94,0.18,0.18,-1.21,-0.49,4.12,0.12,0.12,-0.8300000000000001,-0.1100000000000001,4.87,0.22,0.22,-0.7699999999999996,-0.0499999999999996,4.11,0.15,0.15,-1.3199999999999994,-0.5999999999999994,5.34,0.14,0.14,-0.8799999999999999,-0.15999999999999992,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.02,0.26,0.26,-1.19,-0.47,1.78,0.22,0.22,-0.40000000000000013,0.31999999999999984,0.19,0.3,0.1,0.22,0.14,0.12,0.0,0.01,0.3,-0.33,0.38999999999999996,0.08
[WMO2009] For-1117,For,-0.72,0.06,6.56,0.1,0.1,-1.04,-0.32000000000000006,1.67,0.2,0.2,-1.48,-0.76,3.28,0.25,0.25,-1.6700000000000004,-0.9500000000000004,4.69,0.27,0.27,-0.9499999999999993,-0.22999999999999932,4.33,0.21,0.21,-1.0999999999999996,-0.37999999999999967,4.99,0.25,0.25,-1.2299999999999995,-0.5099999999999996,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.74,0.47,0.47,-1.4400000000000002,-0.7200000000000002,0.3,0.21,0.06,0.17,0.09,0.07,0.0,0.01,0.21,-0.22000000000000003,0.49999999999999994,0.06
[WMO2009] For-1208,For,-0.72,0.06,6.71,0.11,0.11,-0.8899999999999997,-0.1699999999999997,2.04,0.1,0.1,-1.1099999999999999,-0.3899999999999999,3.92,0.23,0.23,-1.0300000000000002,-0.3100000000000003,4.75,0.24,0.24,-0.8899999999999997,-0.1699999999999997,4.27,0.12,0.12,-1.1600000000000001,-0.44000000000000017,5.15,0.29,0.29,-1.0699999999999994,-0.3499999999999994,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.26,0.28,0.28,-0.9200000000000002,-0.20000000000000018,0.15,0.09,0.01,0.09,0.02,0.0,0.0,0.01,0.09,-0.37,0.35,0.06
